country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Djibouti,2021-06,10849,10817,7,1136984197
Djibouti,2021-07,17081,17050,8,1060429251
Djibouti,2021-08,12959,12931,9,1201442306
Djibouti,2021-09,11129,11106,10,969014866
Djibouti,2021-10,18352,18321,11,805830936
Djibouti,2021-11,6805,6787,12,582593278
Dominica,2021-02,5216,72266,3,170467452
Dominica,2021-03,12262,169895,4,340529467
Dominica,2021-04,10016,138783,5,533501731
Dominica,2021-05,9877,136853,6,792994644
Dominica,2021-06,2720,37689,7,1136984197
Dominica,2021-07,1009,13980,8,1060429251
Dominica,2021-08,2031,28143,9,1201442306
Dominica,2021-09,2985,41356,10,969014866
Dominica,2021-10,6769,93788,11,805830936
Dominica,2021-11,2352,32589,12,582593278
Dominican Republic,2021-02,38284,3496,3,170467452
Dominican Republic,2021-03,848368,77451,4,340529467
Dominican Republic,2021-04,962806,87897,5,533501731
Dominican Republic,2021-05,2302511,210203,6,792994644
Dominican Republic,2021-06,3483858,318051,7,1136984197
Dominican Republic,2021-07,2336792,213333,8,1060429251
Dominican Republic,2021-08,1097837,100225,9,1201442306
Dominican Republic,2021-09,772534,70528,10,969014866
Dominican Republic,2021-10,1378762,125871,11,805830936
Dominican Republic,2021-11,418383,38195,12,582593278
Ecuador,2021-01,12000,670,2,93138028
Ecuador,2021-02,55914,3127,3,170467452
Ecuador,2021-03,369602,20663,4,340529467
Ecuador,2021-04,888606,49674,5,533501731
Ecuador,2021-05,1439964,80498,6,792994644
Ecuador,2021-06,1870917,104586,7,1136984197
Ecuador,2021-07,6991388,390830,8,1060429251
Ecuador,2021-08,7310363,408663,9,1201442306
Ecuador,2021-09,1784231,99741,10,969014866
Ecuador,2021-10,1698374,94942,11,805830936
Ecuador,2021-11,533467,29822,12,582593278
Egypt,2021-01,1918,18,2,93138028
Egypt,2021-02,75841,728,3,170467452
Egypt,2021-03,118372,1137,4,340529467
Egypt,2021-04,738914,7085,5,533501731
Egypt,2021-05,1522030,14595,6,792994644
Egypt,2021-06,1796383,17233,7,1136984197
Egypt,2021-07,1163262,11155,8,1060429251
Egypt,2021-08,3352992,32161,9,1201442306
Egypt,2021-09,7414909,71121,10,969014866
Egypt,2021-10,11142756,106873,11,805830936
Egypt,2021-11,6019685,57739,12,582593278
El Salvador,2021-02,17248,2646,3,170467452
El Salvador,2021-03,62359,9565,4,340529467
El Salvador,2021-04,724426,111134,5,533501731
El Salvador,2021-05,1045927,160455,6,792994644
El Salvador,2021-06,883280,135504,7,1136984197
El Salvador,2021-07,1435262,220183,8,1060429251
El Salvador,2021-08,1952409,299521,9,1201442306
El Salvador,2021-09,1306505,200432,10,969014866
El Salvador,2021-10,1080511,165758,11,805830936
El Salvador,2021-11,375930,57671,12,582593278
England,2021-01,5600174,99030,2,93138028
England,2021-02,9377418,165826,3,170467452
England,2021-03,11861175,209749,4,340529467
England,2021-04,11288945,199627,5,533501731
England,2021-05,13772946,243555,6,792994644
England,2021-06,10944914,193546,7,1136984197
England,2021-07,6125773,108323,8,1060429251
England,2021-08,5096515,90125,9,1201442306
England,2021-09,2708199,47887,10,969014866
England,2021-10,7627799,134887,11,805830936
England,2021-11,6279654,111046,12,582593278
Equatorial Guinea,2021-03,6540,4516,4,340529467
Equatorial Guinea,2021-04,61159,42183,5,533501731
Equatorial Guinea,2021-05,144362,99575,6,792994644
Equatorial Guinea,2021-06,45652,31484,7,1136984197
Equatorial Guinea,2021-07,42177,29091,8,1060429251
Equatorial Guinea,2021-08,41141,28376,9,1201442306
Equatorial Guinea,2021-09,46216,31875,10,969014866
Equatorial Guinea,2021-10,37037,25543,11,805830936
Equatorial Guinea,2021-11,11379,7850,12,582593278
Estonia,2020-12,1797,1356,1,8698776
Estonia,2021-01,32921,24842,2,93138028
Estonia,2021-02,69831,52700,3,170467452
Estonia,2021-03,152422,115016,4,340529467
Estonia,2021-04,171867,129694,5,533501731
Estonia,2021-05,257503,194312,6,792994644
Estonia,2021-06,247992,187139,7,1136984197
Estonia,2021-07,185730,140153,8,1060429251
Estonia,2021-08,140474,106001,9,1201442306
Estonia,2021-09,101323,76457,10,969014866
Estonia,2021-10,65614,49510,11,805830936
Estonia,2021-11,36409,27475,12,582593278
Eswatini,2021-03,3377,2880,4,340529467
Eswatini,2021-04,41593,35475,5,533501731
Eswatini,2021-05,3698,3156,6,792994644
Eswatini,2021-06,8781,7501,7,1136984197
Eswatini,2021-07,18763,16002,8,1060429251
Eswatini,2021-08,133352,113745,9,1201442306
Eswatini,2021-09,45802,39066,10,969014866
Eswatini,2021-10,29591,25242,11,805830936
Eswatini,2021-11,12839,10950,12,582593278
Ethiopia,2021-04,702046,5953,5,533501731
Ethiopia,2021-05,744002,6311,6,792994644
Ethiopia,2021-06,218302,1855,7,1136984197
Ethiopia,2021-07,198310,1681,8,1060429251
Ethiopia,2021-08,230365,1955,9,1201442306
Ethiopia,2021-09,1154701,9795,10,969014866
Ethiopia,2021-10,989823,8397,11,805830936
Ethiopia,2021-11,518964,4402,12,582593278
Faeroe Islands,2021-01,166,3384,2,93138028
Faeroe Islands,2021-02,2700,55042,3,170467452
Faeroe Islands,2021-03,3616,73719,4,340529467
Faeroe Islands,2021-04,8872,180870,5,533501731
Faeroe Islands,2021-05,12760,260127,6,792994644
Faeroe Islands,2021-06,14680,299271,7,1136984197
Faeroe Islands,2021-07,16872,343954,8,1060429251
Faeroe Islands,2021-08,7423,151326,9,1201442306
Faeroe Islands,2021-09,3326,67803,10,969014866
Faeroe Islands,2021-10,2974,60631,11,805830936
Faeroe Islands,2021-11,787,16044,12,582593278
Falkland Islands,2021-02,2341,663545,3,170467452
Falkland Islands,2021-03,786,222783,4,340529467
Falkland Islands,2021-04,1806,511908,5,533501731
Fiji,2021-03,3262,3612,4,340529467
Fiji,2021-04,65783,72853,5,533501731
Fiji,2021-05,52874,58555,6,792994644
Fiji,2021-06,189315,209675,7,1136984197
Fiji,2021-07,245349,271736,8,1060429251
Fiji,2021-08,251905,278994,9,1201442306
Fiji,2021-09,203229,225085,10,969014866
Fiji,2021-10,164981,182725,11,805830936
Fiji,2021-11,27714,30695,12,582593278
Finland,2021-01,138312,24930,2,93138028
Finland,2021-02,265637,47876,3,170467452
Finland,2021-03,521898,94065,4,340529467
Finland,2021-04,805408,145161,5,533501731
Finland,2021-05,1149885,207246,6,792994644
Finland,2021-06,1335570,240717,7,1136984197
Finland,2021-07,1262236,227495,8,1060429251
Finland,2021-08,1259894,227073,9,1201442306
Finland,2021-09,786554,141761,10,969014866
Finland,2021-10,529560,95443,11,805830936
Finland,2021-11,179576,32365,12,582593278
France,2020-12,1597,24,1,8698776
France,2021-01,1516296,22441,2,93138028
France,2021-02,2899561,42915,3,170467452
France,2021-03,6439023,95303,4,340529467
France,2021-04,10086841,149292,5,533501731
France,2021-05,14883066,220278,6,792994644
France,2021-06,17286895,255857,7,1136984197
France,2021-07,19156562,283531,8,1060429251
France,2021-08,14776370,218703,9,1201442306
France,2021-09,7585544,112273,10,969014866
France,2021-10,4299493,63635,11,805830936
France,2021-11,2642857,39117,12,582593278
French Polynesia,2021-02,7012,24821,3,170467452
French Polynesia,2021-03,19706,69745,4,340529467
French Polynesia,2021-04,33738,119413,5,533501731
French Polynesia,2021-05,36818,130316,6,792994644
French Polynesia,2021-06,31887,112860,7,1136984197
French Polynesia,2021-07,24721,87495,8,1060429251
French Polynesia,2021-08,70004,247773,9,1201442306
French Polynesia,2021-09,63809,225847,10,969014866
French Polynesia,2021-10,14740,52172,11,805830936
French Polynesia,2021-11,7026,24865,12,582593278
Gabon,2021-03,297,126,4,340529467
Gabon,2021-04,9713,4262,5,533501731
Gabon,2021-05,12037,5276,6,792994644
Gabon,2021-06,31634,13880,7,1136984197
Gabon,2021-07,38816,17033,8,1060429251
Gabon,2021-08,43615,19138,9,1201442306
Gabon,2021-09,43200,18954,10,969014866
Gabon,2021-10,43789,19216,11,805830936
Gabon,2021-11,28704,12598,12,582593278
Gambia,2021-03,6640,2671,4,340529467
Gambia,2021-04,16136,6486,5,533501731
Gambia,2021-05,6709,2701,6,792994644
Gambia,2021-06,13522,5435,7,1136984197
Gambia,2021-07,48394,19466,8,1060429251
Gambia,2021-08,103283,41541,9,1201442306
Gambia,2021-09,14454,5812,10,969014866
Gambia,2021-10,53137,21371,11,805830936
Gambia,2021-11,6075,2441,12,582593278
Georgia,2021-03,6056,1516,4,340529467
Georgia,2021-04,35326,8875,5,533501731
Georgia,2021-05,88816,22316,6,792994644
Georgia,2021-06,124061,31174,7,1136984197
Georgia,2021-07,193019,48499,8,1060429251
Georgia,2021-08,695142,174670,9,1201442306
Georgia,2021-09,617972,155279,10,969014866
Georgia,2021-10,203266,51073,11,805830936
Georgia,2021-11,104181,26177,12,582593278
Germany,2020-12,142595,1699,1,8698776
Germany,2021-01,2221658,26479,2,93138028
Germany,2021-02,3580145,42670,3,170467452
Germany,2021-03,7435245,88621,4,340529467
Germany,2021-04,13976399,166584,5,533501731
Germany,2021-05,21810220,259956,6,792994644
Germany,2021-06,24242708,288944,7,1136984197
Germany,2021-07,18191193,216820,8,1060429251
Germany,2021-08,10064075,119952,9,1201442306
Germany,2021-09,5835217,69548,10,969014866
Germany,2021-10,4235543,50486,11,805830936
Germany,2021-11,4251514,50672,12,582593278
Ghana,2021-03,615002,19385,4,340529467
Ghana,2021-04,318042,10024,5,533501731
Ghana,2021-05,218851,6886,6,792994644
Ghana,2021-06,181105,5705,7,1136984197
Ghana,2021-07,75388,2378,8,1060429251
Ghana,2021-08,173290,5456,9,1201442306
Ghana,2021-09,361616,11392,10,969014866
Ghana,2021-10,1107270,34893,11,805830936
Ghana,2021-11,336352,10603,12,582593278
Gibraltar,2021-01,14655,434985,2,93138028
Gibraltar,2021-02,22467,666857,3,170467452
Gibraltar,2021-03,24148,716750,4,340529467
Gibraltar,2021-04,10822,321213,5,533501731
Gibraltar,2021-05,7596,225459,6,792994644
Gibraltar,2021-06,964,28612,7,1136984197
Gibraltar,2021-07,359,10656,8,1060429251
Gibraltar,2021-08,399,11839,9,1201442306
Gibraltar,2021-09,690,20479,10,969014866
Gibraltar,2021-10,8862,263037,11,805830936
Gibraltar,2021-11,5708,169423,12,582593278
Greece,2020-12,1899,184,1,8698776
Greece,2021-01,233082,22473,2,93138028
Greece,2021-02,589308,56823,3,170467452
Greece,2021-03,796867,76838,4,340529467
Greece,2021-04,1335242,128751,5,533501731
Greece,2021-05,2425778,233905,6,792994644
Greece,2021-06,2728955,263138,7,1136984197
Greece,2021-07,2247042,216672,8,1060429251
Greece,2021-08,973123,93836,9,1201442306
Greece,2021-09,741001,71452,10,969014866
Greece,2021-10,570541,55015,11,805830936
Greece,2021-11,770460,74291,12,582593278
Greenland,2021-01,308,5416,2,93138028
Greenland,2021-02,2156,37912,3,170467452
Greenland,2021-03,3361,59099,4,340529467
Greenland,2021-04,5293,93075,5,533501731
Greenland,2021-05,7640,134347,6,792994644
Greenland,2021-06,15084,265241,7,1136984197
Greenland,2021-07,22898,402651,8,1060429251
Greenland,2021-08,12837,225732,9,1201442306
Greenland,2021-09,3697,65017,10,969014866
Greenland,2021-10,1489,26181,11,805830936
Greenland,2021-11,98,1723,12,582593278
Grenada,2021-02,2442,21610,3,170467452
Grenada,2021-03,7681,67969,4,340529467
Grenada,2021-04,4619,40874,5,533501731
Grenada,2021-05,10820,95739,6,792994644
Grenada,2021-06,6838,60503,7,1136984197
Grenada,2021-07,5029,44499,8,1060429251
Grenada,2021-08,5599,49540,9,1201442306
Grenada,2021-09,14141,125124,10,969014866
Grenada,2021-10,12274,108606,11,805830936
Grenada,2021-11,2315,20484,12,582593278
Guatemala,2021-02,2999,164,3,170467452
Guatemala,2021-03,97043,5316,4,340529467
Guatemala,2021-04,70567,3868,5,533501731
Guatemala,2021-05,297611,16306,6,792994644
Guatemala,2021-06,459391,25172,7,1136984197
Guatemala,2021-07,1025228,56175,8,1060429251
Guatemala,2021-08,2420979,132659,9,1201442306
Guatemala,2021-09,2402930,131670,10,969014866
Guatemala,2021-10,1729756,94783,11,805830936
Guatemala,2021-11,794267,43523,12,582593278
Guernsey,2021-01,4228,66703,2,93138028
Guernsey,2021-02,11551,182236,3,170467452
Guernsey,2021-03,13936,219856,4,340529467
Guernsey,2021-04,14582,230052,5,533501731
Guernsey,2021-05,14621,230671,6,792994644
Guernsey,2021-06,16127,254432,7,1136984197
Guernsey,2021-07,12222,192820,8,1060429251
Guernsey,2021-08,7256,114476,9,1201442306
Guernsey,2021-09,2514,39663,10,969014866
Guernsey,2021-10,1369,21600,11,805830936
Guernsey,2021-11,726,11454,12,582593278
Guinea,2021-04,81420,6031,5,533501731
Guinea,2021-05,188233,13945,6,792994644
Guinea,2021-06,223641,16568,7,1136984197
Guinea,2021-07,290285,21507,8,1060429251
Guinea,2021-08,301859,22367,9,1201442306
Guinea,2021-09,613177,45429,10,969014866
Guinea,2021-10,460576,34125,11,805830936
Guinea,2021-11,124610,9232,12,582593278
Guinea-Bissau,2021-05,9025,4484,6,792994644
Guinea-Bissau,2021-06,9154,4549,7,1136984197
Guinea-Bissau,2021-07,4848,2412,8,1060429251
Guinea-Bissau,2021-08,14056,6974,9,1201442306
Guinea-Bissau,2021-09,61415,30472,10,969014866
Guinea-Bissau,2021-10,31523,15639,11,805830936
Guinea-Bissau,2021-11,183418,91004,12,582593278
Guyana,2021-02,3994,5053,3,170467452
Guyana,2021-03,24922,31532,4,340529467
Guyana,2021-04,100313,126923,5,533501731
Guyana,2021-05,127760,161652,6,792994644
Guyana,2021-06,81015,102508,7,1136984197
Guyana,2021-07,46183,58436,8,1060429251
Guyana,2021-08,85087,107660,9,1201442306
Guyana,2021-09,71266,90175,10,969014866
Guyana,2021-10,80828,102270,11,805830936
Guyana,2021-11,33271,42098,12,582593278
Haiti,2021-07,6053,526,8,1060429251
Haiti,2021-08,27523,2388,9,1201442306
Haiti,2021-09,34989,3034,10,969014866
Haiti,2021-10,57239,4957,11,805830936
Haiti,2021-11,14889,1289,12,582593278
Honduras,2021-03,46439,4608,4,340529467
Honduras,2021-04,37638,3737,5,533501731
Honduras,2021-05,173170,17205,6,792994644
Honduras,2021-06,476863,47387,7,1136984197
Honduras,2021-07,1075451,106873,8,1060429251
Honduras,2021-08,2181684,216808,9,1201442306
Honduras,2021-09,1445465,143643,10,969014866
Honduras,2021-10,1392542,138381,11,805830936
Honduras,2021-11,942993,93711,12,582593278
Hong Kong,2021-02,8795,1163,3,170467452
Hong Kong,2021-03,456602,60456,4,340529467
Hong Kong,2021-04,865907,114647,5,533501731
Hong Kong,2021-05,964849,127746,6,792994644
Hong Kong,2021-06,1268203,167911,7,1136984197
Hong Kong,2021-07,1904367,252138,8,1060429251
Hong Kong,2021-08,1942106,257138,9,1201442306
Hong Kong,2021-09,1189496,157492,10,969014866
Hong Kong,2021-10,420165,55632,11,805830936
Hong Kong,2021-11,213564,28277,12,582593278
Hungary,2020-12,18606,1932,1,8698776
Hungary,2021-01,221648,23011,2,93138028
Hungary,2021-02,562382,58374,3,170467452
Hungary,2021-03,1849125,191931,4,340529467
Hungary,2021-04,2918172,302899,5,533501731
Hungary,2021-05,3036412,315171,6,792994644
Hungary,2021-06,1208473,125427,7,1136984197
Hungary,2021-07,771280,80042,8,1060429251
Hungary,2021-08,771280,80042,9,1201442306
Hungary,2021-09,743617,77172,10,969014866
Hungary,2021-10,597359,62007,11,805830936
Hungary,2021-11,433443,44989,12,582593278
Iceland,2020-12,63,183,1,8698776
Iceland,2021-01,10993,32005,2,93138028
Iceland,2021-02,14940,43509,3,170467452
Iceland,2021-03,34380,100129,4,340529467
Iceland,2021-04,59542,173413,5,533501731
Iceland,2021-05,121582,354092,6,792994644
Iceland,2021-06,143681,418457,7,1136984197
Iceland,2021-07,79950,232847,8,1060429251
Iceland,2021-08,56329,164051,9,1201442306
Iceland,2021-09,26952,78492,10,969014866
Iceland,2021-10,17787,51803,11,805830936
Iceland,2021-11,20553,59857,12,582593278
India,2021-01,3379485,2427,2,93138028
India,2021-02,10103631,7250,3,170467452
India,2021-03,47519159,34104,4,340529467
India,2021-04,84035890,60308,5,533501731
India,2021-05,58936437,42299,6,792994644
India,2021-06,113298089,81307,7,1136984197
India,2021-07,134400232,96453,8,1060429251
India,2021-08,171716830,123235,9,1201442306
India,2021-09,243332341,174631,10,969014866
India,2021-10,177588227,127447,11,805830936
India,2021-11,97682413,70104,12,582593278
Indonesia,2021-01,400225,1450,2,93138028
Indonesia,2021-02,1971942,7136,3,170467452
Indonesia,2021-03,8448417,30568,4,340529467
Indonesia,2021-04,8449202,30574,5,533501731
Indonesia,2021-05,7206903,26079,6,792994644
Indonesia,2021-06,13683999,49514,7,1136984197
Indonesia,2021-07,24834708,89862,8,1060429251
Indonesia,2021-08,30615735,110783,9,1201442306
Indonesia,2021-09,41283532,149379,10,969014866
Indonesia,2021-10,50867203,184061,11,805830936
Indonesia,2021-11,30437879,110139,12,582593278
Iran,2021-02,46460,547,3,170467452
Iran,2021-03,280275,3301,4,340529467
Iran,2021-04,580968,6829,5,533501731
Iran,2021-05,2616431,30770,6,792994644
Iran,2021-06,2007371,23606,7,1136984197
Iran,2021-07,5281766,62114,8,1060429251
Iran,2021-08,14802370,174086,9,1201442306
Iran,2021-09,26108677,307056,10,969014866
Iran,2021-10,32636043,383825,11,805830936
Iran,2021-11,11997498,141100,12,582593278
Iraq,2021-03,32976,795,4,340529467
Iraq,2021-04,302717,7351,5,533501731
Iraq,2021-05,242850,5898,6,792994644
Iraq,2021-06,361530,8778,7,1136984197
Iraq,2021-07,898063,21804,8,1060429251
Iraq,2021-08,1435935,34865,9,1201442306
Iraq,2021-09,4378016,106318,10,969014866
Iraq,2021-10,1588534,38577,11,805830936
Iraq,2021-11,1274965,30959,12,582593278
Ireland,2020-12,1326,266,1,8698776
Ireland,2021-01,179952,36112,2,93138028
Ireland,2021-02,251034,50380,3,170467452
Ireland,2021-03,430486,86394,4,340529467
Ireland,2021-04,697174,139915,5,533501731
Ireland,2021-05,1298496,260593,6,792994644
Ireland,2021-06,1406249,282215,7,1136984197
Ireland,2021-07,1582689,317625,8,1060429251
Ireland,2021-08,978030,196278,9,1201442306
Ireland,2021-09,394512,79173,10,969014866
Ireland,2021-10,304548,61119,11,805830936
Ireland,2021-11,287435,57683,12,582593278
Isle of Man,2021-01,2972,34797,2,93138028
Isle of Man,2021-02,13234,154947,3,170467452
Isle of Man,2021-03,28484,333498,4,340529467
Isle of Man,2021-04,23169,271264,5,533501731
Isle of Man,2021-05,17311,202680,6,792994644
Isle of Man,2021-06,14797,173247,7,1136984197
Isle of Man,2021-07,19702,230675,8,1060429251
Isle of Man,2021-08,4259,49863,9,1201442306
Isle of Man,2021-09,2296,26881,10,969014866
Isle of Man,2021-10,2788,32640,11,805830936
Isle of Man,2021-11,778,9111,12,582593278
Israel,2020-12,630341,67845,1,8698776
Israel,2021-01,3991160,429571,2,93138028
Israel,2021-02,3321849,357534,3,170467452
Israel,2021-03,2109893,227090,4,340529467
Israel,2021-04,455666,49043,5,533501731
Israel,2021-05,157947,17000,6,792994644
Israel,2021-06,143711,15468,7,1136984197
Israel,2021-07,409288,44052,8,1060429251
Israel,2021-08,2305757,248174,9,1201442306
Israel,2021-09,1558262,167719,10,969014866
Israel,2021-10,886935,95462,11,805830936
Israel,2021-11,149909,16133,12,582593278
Italy,2020-12,13616,226,1,8698776
Italy,2021-01,1794337,29726,2,93138028
Italy,2021-02,2292013,37968,3,170467452
Italy,2021-03,5639710,93421,4,340529467
Italy,2021-04,9194606,152312,5,533501731
Italy,2021-05,14970589,247994,6,792994644
Italy,2021-06,16557065,274272,7,1136984197
Italy,2021-07,16826326,278733,8,1060429251
Italy,2021-08,9882112,163698,9,1201442306
Italy,2021-09,7140046,118274,10,969014866
Italy,2021-10,5155826,85408,11,805830936
Italy,2021-11,3335805,55259,12,582593278
Jamaica,2021-03,44065,14819,4,340529467
Jamaica,2021-04,106639,35867,5,533501731
Jamaica,2021-05,32814,11039,6,792994644
Jamaica,2021-06,79010,26569,7,1136984197
Jamaica,2021-07,70282,23639,8,1060429251
Jamaica,2021-08,187076,62917,9,1201442306
Jamaica,2021-09,231693,77919,10,969014866
Jamaica,2021-10,163495,54987,11,805830936
Jamaica,2021-11,150786,50711,12,582593278
Japan,2021-02,27678,220,3,170467452
Japan,2021-03,857027,6798,4,340529467
Japan,2021-04,2760231,21899,5,533501731
Japan,2021-05,10953516,86899,6,792994644
Japan,2021-06,32256132,255897,7,1136984197
Japan,2021-07,38578862,306056,8,1060429251
Japan,2021-08,41279074,327479,9,1201442306
Japan,2021-09,34404554,272940,10,969014866
Japan,2021-10,26524556,210428,11,805830936
Japan,2021-11,7103475,56354,12,582593278
Jersey,2021-03,16382,162079,4,340529467
Jersey,2021-04,25014,247484,5,533501731
Jersey,2021-05,22770,225282,6,792994644
Jersey,2021-06,15872,157035,7,1136984197
Jersey,2021-07,18794,185944,8,1060429251
Jersey,2021-08,6798,67262,9,1201442306
Jersey,2021-09,5195,51398,10,969014866
Jersey,2021-10,17446,172606,11,805830936
Jersey,2021-11,6769,66972,12,582593278
Jordan,2021-01,44428,4331,2,93138028
Jordan,2021-02,96326,9380,3,170467452
Jordan,2021-03,246874,24042,4,340529467
Jordan,2021-04,505098,49187,5,533501731
Jordan,2021-05,1004683,97838,6,792994644
Jordan,2021-06,1678254,163427,7,1136984197
Jordan,2021-07,1498108,145886,8,1060429251
Jordan,2021-08,1253312,122048,9,1201442306
Jordan,2021-09,622806,60650,10,969014866
Jordan,2021-10,489370,47655,11,805830936
Jordan,2021-11,277499,27020,12,582593278
Kazakhstan,2021-02,30774,1622,3,170467452
Kazakhstan,2021-03,202731,10674,4,340529467
Kazakhstan,2021-04,1064033,56015,5,533501731
Kazakhstan,2021-05,1800341,94781,6,792994644
Kazakhstan,2021-06,1923061,101241,7,1136984197
Kazakhstan,2021-07,3675444,193495,8,1060429251
Kazakhstan,2021-08,3114235,163953,9,1201442306
Kazakhstan,2021-09,2156204,113513,10,969014866
Kazakhstan,2021-10,1686791,88804,11,805830936
Kazakhstan,2021-11,789528,41565,12,582593278
Kenya,2021-03,121081,2205,4,340529467
Kenya,2021-04,715273,13010,5,533501731
Kenya,2021-05,130723,2380,6,792994644
Kenya,2021-06,326766,5941,7,1136984197
Kenya,2021-07,402632,7322,8,1060429251
Kenya,2021-08,1008839,18346,9,1201442306
Kenya,2021-09,942399,17138,10,969014866
Kenya,2021-10,1556487,28312,11,805830936
Kenya,2021-11,897028,16314,12,582593278
Kiribati,2021-06,5858,48256,7,1136984197
Kiribati,2021-07,6262,51584,8,1060429251
Kiribati,2021-08,6949,57251,9,1201442306
Kiribati,2021-09,17882,147316,10,969014866
Kiribati,2021-10,29989,247057,11,805830936
Kiribati,2021-11,5445,44850,12,582593278
Kosovo,2021-03,351,198,4,340529467
Kosovo,2021-04,26096,14645,5,533501731
Kosovo,2021-05,38029,21334,6,792994644
Kosovo,2021-06,101352,56872,7,1136984197
Kosovo,2021-07,222445,124820,8,1060429251
Kosovo,2021-08,402084,225622,9,1201442306
Kosovo,2021-09,495545,278065,10,969014866
Kosovo,2021-10,268376,150594,11,805830936
Kosovo,2021-11,42644,23929,12,582593278
Kuwait,2020-12,3363,777,1,8698776
Kuwait,2021-01,47347,10939,2,93138028
Kuwait,2021-02,213260,49263,3,170467452
Kuwait,2021-03,333588,77063,4,340529467
Kuwait,2021-04,487841,112698,5,533501731
Kuwait,2021-05,874342,201992,6,792994644
Kuwait,2021-06,347160,80190,7,1136984197
Kuwait,2021-07,243608,56289,8,1060429251
Kuwait,2021-08,97538,22540,9,1201442306
Kyrgyzstan,2021-03,216,33,4,340529467
Kyrgyzstan,2021-04,26066,3935,5,533501731
Kyrgyzstan,2021-05,65081,9822,6,792994644
Kyrgyzstan,2021-06,121618,18351,7,1136984197
Kyrgyzstan,2021-07,312694,47178,8,1060429251
Kyrgyzstan,2021-08,583473,88028,9,1201442306
Kyrgyzstan,2021-09,316726,47784,10,969014866
Kyrgyzstan,2021-10,285884,43130,11,805830936
Kyrgyzstan,2021-11,185655,28011,12,582593278
Laos,2021-03,47558,6440,4,340529467
Laos,2021-04,136519,18495,5,533501731
Laos,2021-05,584367,79187,6,792994644
Laos,2021-06,609182,82550,7,1136984197
Laos,2021-07,583918,79129,8,1060429251
Laos,2021-08,2117665,286976,9,1201442306
Laos,2021-09,247378,33523,10,969014866
Latvia,2020-12,983,531,1,8698776
Latvia,2021-01,21443,11485,2,93138028
Latvia,2021-02,35522,19024,3,170467452
Latvia,2021-03,74592,39954,4,340529467
Latvia,2021-04,156762,83968,5,533501731
Latvia,2021-05,435474,233256,6,792994644
Latvia,2021-06,362782,194319,7,1136984197
Latvia,2021-07,217654,116583,8,1060429251
Latvia,2021-08,157951,84606,9,1201442306
Latvia,2021-09,154315,82659,10,969014866
Latvia,2021-10,302992,162293,11,805830936
Latvia,2021-11,191797,102734,12,582593278
Lebanon,2021-02,31966,4722,3,170467452
Lebanon,2021-03,162055,23939,4,340529467
